reference,manufacturer_part_number,jlcpcb,pcb_status
"BT1","B2B-PH-K-S(LF)(SN)","C131337","supplier-imported"
"C1","CL21A226KOQNNNE","C296720","supplier-imported"
"C2","CL10A106KO8NQNC","C962136","supplier-imported"
"C10","CL10B104KB8NNNC","C1591","supplier-imported"
"C12","CL10A106KO8NQNC","C962136","supplier-imported"
"C21","CL21A226KOQNNNE","C296720","supplier-imported"
"C22","CL10B105KA8NNNC","C29936","supplier-imported"
"C23","CL10A106KO8NQNC","C962136","supplier-imported"
"C37","CL10A106KO8NQNC","C962136","supplier-imported"
"C42","CL21A226KOQNNNE","C296720","supplier-imported"
"C44","CL10B105KA8NNNC","C29936","supplier-imported"
"C57","CL10A106KO8NQNC","C962136","supplier-imported"
"C58","CL21A226KOQNNNE","C296720","supplier-imported"
"C59","CL10A106KO8NQNC","C962136","supplier-imported"
"C60","CL10A106KO8NQNC","C962136","supplier-imported"
"C61","CL10C332JB8NNNC","C55395","supplier-imported"
"C68","CL10A106KO8NQNC","C962136","supplier-imported"
"C72","CL10B104KB8NNNC","C1591","supplier-imported"
"C80","CL10C332JB8NNNC","C55395","supplier-imported"
"D1","1SS355VMTE-17","C111695","supplier-imported"
"D2","1SS355VMTE-17","C111695","supplier-imported"
"DL1","150060VS75000","C6848499","supplier-imported"
"DL2","150060RS75000","C3030991","supplier-imported"
"F1","0466002.NRHF","C3105","supplier-imported"
"L1","DFE252012P-R47M=P2","C237552","supplier-imported"
"L2","DFE252012P-R47M=P2","C237552","supplier-imported"
"NT1","0603WAF0000T5E","C21189","supplier-imported"
"PTC1","0805L075SLYR","C207023","supplier-imported"
"Q1","MMBT3904LT1G","C81464","supplier-imported"
"Q3","MMBT3906LT1G","C53444","supplier-imported"
"Q5","NDC7002N","C114648","supplier-imported"
"Q9","NDC7002N","C114648","supplier-imported"
"Q10","NDC7002N","C114648","supplier-imported"
"R3","0603WAF5101T5E","C23186","supplier-imported"
"R4","0603WAF3302T5E","C4216","supplier-imported"
"R8","0603WAF1003T5E","C25803","supplier-imported"
"R9","0603WAF1003T5E","C25803","supplier-imported"
"R10","0603WAF2002T5E","C4184","supplier-imported"
"R11","0603WAF1001T5E","C21190","supplier-imported"
"R12","0603WAF1003T5E","C25803","supplier-imported"
"R13","0603WAF1003T5E","C25803","supplier-imported"
"R15","RC0603FR-0710KL","C98220","supplier-imported"
"R16","RC0603FR-0710KL","C98220","supplier-imported"
"R17","0603WAF1003T5E","C25803","supplier-imported"
"R18","RC0603FR-0710KL","C98220","supplier-imported"
"R24","0603WAF1003T5E","C25803","supplier-imported"
"R25","0603WAF3301T5E","C22978","supplier-imported"
"R58","0603WAF5101T5E","C23186","supplier-imported"
"R59","0603WAF8203T5E","C23252","supplier-imported"
"R60","0603WAF9102T5E","C23265","supplier-imported"
"R63","0603WAF1003T5E","C25803","supplier-imported"
"R64","0603WAF2003T5E","C25811","supplier-imported"
"R65","0603WAF1003T5E","C25803","supplier-imported"
"R66","0603WAF1003T5E","C25803","supplier-imported"
"R72","0603WAF5103T5E","C23192","supplier-imported"
"R73","0603WAF9102T5E","C23265","supplier-imported"
"SW1","CSS-1210TB","C2921710","supplier-imported"
"TP13","5015","C2906768","supplier-imported"
"TP14","5015","C2906768","supplier-imported"
"TP15","5015","C2906768","supplier-imported"
"TP16","5015","C2906768","supplier-imported"
"TP17","5015","C2906768","supplier-imported"
"TP18","5015","C2906768","supplier-imported"
"TP19","5015","C2906768","supplier-imported"
"TP20","5015","C2906768","supplier-imported"
"TP21","5015","C2906768","supplier-imported"
"TP22","5015","C2906768","supplier-imported"
"TP23","5015","C2906768","supplier-imported"
"TP24","5015","C2906768","supplier-imported"
"TP26","5015","C2906768","supplier-imported"
"TP30","5015","C2906768","supplier-imported"
"TP32","5015","C2906768","supplier-imported"
"U3","TPS3840DL20DBVR","C2066745","supplier-imported"
"U4","TPS74525PQWDRVRQ1","C2865628","supplier-imported"
"U5","TPS63802DLAR","C2845237","supplier-imported"
"U8","TPS74525PQWDRVRQ1","C2865628","supplier-imported"
"U10","TPS3840DL20DBVR","C2066745","supplier-imported"
"U11","TPS22917DBVR","C2681320","supplier-imported"
"U13","TPS63802DLAR","C2845237","supplier-imported"
"U14","MIC1557YM5-TR","C144169","supplier-imported"
"U17","TPS3840DL20DBVR","C2066745","supplier-imported"
"U18","TPS22917DBVR","C2681320","supplier-imported"
"P1","CART SLOT","","unresolved"
"U1","AGB-CPU","","unresolved"
"U2","CY62146EV30LL-45ZSXI","C466866","supplier-imported"
"C3","CL10C270JB8NNNC","C1656","supplier-imported"
"C4","CL10C330JB8NNNC","C1663","supplier-imported"
"C5","CL10B104KB8NNNC","C1591","supplier-imported"
"C6","CL10B104KB8NNNC","C1591","supplier-imported"
"C7","CL10B104KB8NNNC","C1591","supplier-imported"
"C8","CL10B104KB8NNNC","C1591","supplier-imported"
"C15","CL10B104KB8NNNC","C1591","supplier-imported"
"C16","CL10B104KB8NNNC","C1591","supplier-imported"
"C17","CL10B104KB8NNNC","C1591","supplier-imported"
"C18","CL10C101JB8NNNC","C14858","supplier-imported"
"C19","CL10C101JB8NNNC","C14858","supplier-imported"
"C20","CL10C101JB8NNNC","C14858","supplier-imported"
"C30","CL10B105KA8NNNC","C29936","supplier-imported"
"C34","CL10B104KB8NNNC","C1591","supplier-imported"
"C39","CL10B104KB8NNNC","C1591","supplier-imported"
"C43","CL10B104KB8NNNC","C1591","supplier-imported"
"C45","CL10B105KA8NNNC","C29936","supplier-imported"
"C46","CL10B105KA8NNNC","C29936","supplier-imported"
"C47","CL10B105KA8NNNC","C29936","supplier-imported"
"C48","CL10B105KA8NNNC","C29936","supplier-imported"
"C49","CL10B105KA8NNNC","C29936","supplier-imported"
"C50","CL10B105KA8NNNC","C29936","supplier-imported"
"C51","CL10B105KA8NNNC","C29936","supplier-imported"
"C52","CL10B104KB8NNNC","C1591","supplier-imported"
"C53","CL10B104KB8NNNC","C1591","supplier-imported"
"C62","CL10B103KB8NNNC","C1589","supplier-imported"
"C63","CL10B103KB8NNNC","C1589","supplier-imported"
"C64","CL10B103KB8NNNC","C1589","supplier-imported"
