reference,original_pin,original_net,physical_endpoint,status
"P1","6","/CPU/A_{0}","P1.pin6","reference-connectivity-only"
"U1","33","/CPU/A_{0}","U1.pin33","reference-connectivity-only"
"P1","7","/CPU/A_{1}","P1.pin7","reference-connectivity-only"
"U1","32","/CPU/A_{1}","U1.pin32","reference-connectivity-only"
"P1","8","/CPU/A_{2}","P1.pin8","reference-connectivity-only"
"U1","31","/CPU/A_{2}","U1.pin31","reference-connectivity-only"
"P1","9","/CPU/A_{3}","P1.pin9","reference-connectivity-only"
"U1","30","/CPU/A_{3}","U1.pin30","reference-connectivity-only"
"P1","10","/CPU/A_{4}","P1.pin10","reference-connectivity-only"
"U1","29","/CPU/A_{4}","U1.pin29","reference-connectivity-only"
"P1","11","/CPU/A_{5}","P1.pin11","reference-connectivity-only"
"U1","28","/CPU/A_{5}","U1.pin28","reference-connectivity-only"
"P1","12","/CPU/A_{6}","P1.pin12","reference-connectivity-only"
"U1","27","/CPU/A_{6}","U1.pin27","reference-connectivity-only"
"P1","13","/CPU/A_{7}","P1.pin13","reference-connectivity-only"
"U1","26","/CPU/A_{7}","U1.pin26","reference-connectivity-only"
"P1","14","/CPU/A_{8}","P1.pin14","reference-connectivity-only"
"U1","25","/CPU/A_{8}","U1.pin25","reference-connectivity-only"
"P1","15","/CPU/A_{9}","P1.pin15","reference-connectivity-only"
"U1","24","/CPU/A_{9}","U1.pin24","reference-connectivity-only"
"P1","16","/CPU/A_{10}","P1.pin16","reference-connectivity-only"
"U1","23","/CPU/A_{10}","U1.pin23","reference-connectivity-only"
"P1","17","/CPU/A_{11}","P1.pin17","reference-connectivity-only"
"U1","22","/CPU/A_{11}","U1.pin22","reference-connectivity-only"
"P1","18","/CPU/A_{12}","P1.pin18","reference-connectivity-only"
"U1","21","/CPU/A_{12}","U1.pin21","reference-connectivity-only"
"P1","19","/CPU/A_{13}","P1.pin19","reference-connectivity-only"
"U1","20","/CPU/A_{13}","U1.pin20","reference-connectivity-only"
"P1","20","/CPU/A_{14}","P1.pin20","reference-connectivity-only"
"U1","19","/CPU/A_{14}","U1.pin19","reference-connectivity-only"
"P1","21","/CPU/A_{15}","P1.pin21","reference-connectivity-only"
"U1","18","/CPU/A_{15}","U1.pin18","reference-connectivity-only"
"TP115","1","/CPU/Audio/L-OUT","TP115.pin1","reference-connectivity-only"
"U1","7","/CPU/Audio/L-OUT","U1.pin7","reference-connectivity-only"
"U9","1","/CPU/Audio/L-OUT","U9.pin1","reference-connectivity-only"
"C56","1","/CPU/Audio/LIN","C56.pin1","reference-connectivity-only"
"TP33","1","/CPU/Audio/LIN","TP33.pin1","reference-connectivity-only"
"VR2","3","/CPU/Audio/LIN","VR2.pin3","reference-connectivity-only"
"TP114","1","/CPU/Audio/R-OUT","TP114.pin1","reference-connectivity-only"
"U1","6","/CPU/Audio/R-OUT","U1.pin6","reference-connectivity-only"
"U9","3","/CPU/Audio/R-OUT","U9.pin3","reference-connectivity-only"
"C55","1","/CPU/Audio/RIN","C55.pin1","reference-connectivity-only"
"TP34","1","/CPU/Audio/RIN","TP34.pin1","reference-connectivity-only"
"VR2","4","/CPU/Audio/RIN","VR2.pin5","reference-connectivity-only"
"C3","2","/CPU/CK1","C3.pin2","reference-connectivity-only"
"R1","1","/CPU/CK1","R1.pin1","reference-connectivity-only"
"TP80","1","/CPU/CK1","TP80.pin1","reference-connectivity-only"
"U1","113","/CPU/CK1","U1.pin113","reference-connectivity-only"
"X1","1","/CPU/CK1","X1.pin1","reference-connectivity-only"
"R1","2","/CPU/CK2","R1.pin2","reference-connectivity-only"
"R41","1","/CPU/CK2","R41.pin1","reference-connectivity-only"
"TP81","1","/CPU/CK2","TP81.pin1","reference-connectivity-only"
"U1","114","/CPU/CK2","U1.pin114","reference-connectivity-only"
"P2","25","/CPU/CLS","P2.pin25","reference-connectivity-only"
"U1","105","/CPU/CLS","U1.pin105","reference-connectivity-only"
"R36","2","/CPU/DCK_{R}","R36.pin2","reference-connectivity-only"
"U1","84","/CPU/DCK_{R}","U1.pin84","reference-connectivity-only"
"P1","22","/CPU/D_{0}","P1.pin22","reference-connectivity-only"
"U1","17","/CPU/D_{0}","U1.pin17","reference-connectivity-only"
"P1","23","/CPU/D_{1}","P1.pin23","reference-connectivity-only"
"U1","16","/CPU/D_{1}","U1.pin16","reference-connectivity-only"
"P1","24","/CPU/D_{2}","P1.pin24","reference-connectivity-only"
"U1","15","/CPU/D_{2}","U1.pin15","reference-connectivity-only"
"P1","25","/CPU/D_{3}","P1.pin25","reference-connectivity-only"
"U1","14","/CPU/D_{3}","U1.pin14","reference-connectivity-only"
"P1","26","/CPU/D_{4}","P1.pin26","reference-connectivity-only"
"U1","13","/CPU/D_{4}","U1.pin13","reference-connectivity-only"
"P1","27","/CPU/D_{5}","P1.pin27","reference-connectivity-only"
"U1","12","/CPU/D_{5}","U1.pin12","reference-connectivity-only"
"P1","28","/CPU/D_{6}","P1.pin28","reference-connectivity-only"
"U1","11","/CPU/D_{6}","U1.pin11","reference-connectivity-only"
"P1","29","/CPU/D_{7}","P1.pin29","reference-connectivity-only"
"U1","10","/CPU/D_{7}","U1.pin10","reference-connectivity-only"
"P2","3","/CPU/Display/DCK","P2.pin3","reference-connectivity-only"
"R36","1","/CPU/Display/DCK","R36.pin1","reference-connectivity-only"
"P2","29","/CPU/Display/VCOM","P2.pin29","reference-connectivity-only"
"VR1","2","/CPU/Display/VCOM","VR1.pin2","reference-connectivity-only"
"R26","1","/CPU/Display/VR1-2","R26.pin1","reference-connectivity-only"
"VR1","1","/CPU/Display/VR1-2","VR1.pin1","reference-connectivity-only"
"Q7","6","/CPU/Display/ZA","Q7.pin6","reference-connectivity-only"
"Z58","1","/CPU/Display/ZA","Z58.pin1","reference-connectivity-only"
"Q2","4","/CPU/Display/ZB","Q2.pin4","reference-connectivity-only"
"Z57","1","/CPU/Display/ZB","Z57.pin1","reference-connectivity-only"
"P1","C2","/CPU/IN35","P1.pin34","reference-connectivity-only"
"R5","1","/CPU/IN35","R5.pin1","reference-connectivity-only"
"U1","2","/CPU/IN35","U1.pin2","reference-connectivity-only"
"P1","31","/CPU/IRQ","P1.pin31","reference-connectivity-only"
"R6","2","/CPU/IRQ","R6.pin2","reference-connectivity-only"
"U1","8","/CPU/IRQ","U1.pin8","reference-connectivity-only"
"P2","23","/CPU/LDB1","P2.pin23","reference-connectivity-only"
"U1","101","/CPU/LDB1","U1.pin101","reference-connectivity-only"
"P2","22","/CPU/LDB2","P2.pin22","reference-connectivity-only"
"U1","100","/CPU/LDB2","U1.pin100","reference-connectivity-only"
"P2","21","/CPU/LDB3","P2.pin21","reference-connectivity-only"
