original_reference,original_value,original_sheet,status,s4_reference,reason
BT1,Battery,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C1,22u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C2,10u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C10,0.1u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C12,10u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C21,22u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C22,1u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C23,10u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C37,10u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C42,22u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C44,1u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C57,10u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C58,22u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C59,10u,/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
C60,10u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C61,3300p,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
C68,10u,/,reference_only_pending_review,,Historical handheld component; individual disposition is not yet reviewed. This is not an active console BOM entry or a DNP designation.
