reference,symbol_value,manufacturer_part_number,jlcpcb_part_number,reference_sheet,import_status
C1,10u,CL10A106MA8NRNC,C96446,/Architecture/Power/,not_qualified
C2,10p,CL05C100JB5NNNC,C32949,/Architecture/Power/,not_qualified
C3,10u,CL10A106MA8NRNC,C96446,/Architecture/Power/,not_qualified
C4,10p,CL05C100JB5NNNC,C32949,/Architecture/Power/,not_qualified
C5,22u,CL21A226MAQNNNE,C45783,/Architecture/Power/,not_qualified
C6,22u,CL21A226MAQNNNE,C45783,/Architecture/Power/,not_qualified
C7,10u,CL10A106MA8NRNC,C96446,/Architecture/Power/,not_qualified
C8,100n,CL05B104KB54PNC,C307331,/Architecture/Power/,not_qualified
D1,RED, NCD0805R1,C84256,/Architecture/Power/,not_qualified
L1,2u2,XRIM252012S2R2MBCA,C22471111,/Architecture/Power/,not_qualified
L2,2u2,XRIM252012S2R2MBCA,C22471111,/Architecture/Power/,not_qualified
R1,100k,0402WGF1003TCE,C25741,/Architecture/Power/,not_qualified
R2,453k,0402WGF4533TCE,C27009,/Architecture/Power/,not_qualified
R3,100k,0402WGF1003TCE,C25741,/Architecture/Power/,not_qualified
R4,5k1,0402WGF5101TCE,C25905,/Architecture/Power/,not_qualified
R5,51k,0402WGF5102TCE,C25794,/Architecture/Power/,not_qualified
R6,100k,0402WGF1003TCE,C25741,/Architecture/Power/,not_qualified
R7,100k,0402WGF1003TCE,C25741,/Architecture/Power/,not_qualified
U1,TLV62569PDDCR,TLV62569PDDCR,C398365,/Architecture/Power/,not_qualified
U2,TLV62569PDDCR,TLV62569PDDCR,C398365,/Architecture/Power/,not_qualified
C9,2u2,CL05A225MQ5NSNC,C12530,/Architecture/CPU Core/,not_qualified
C10,10u,CL10A106MA8NRNC,C96446,/Architecture/CPU Core/,not_qualified
C11,100n,CL05B104KB54PNC,C307331,/Architecture/CPU Core/,not_qualified
C12,100n,CL05B104KB54PNC,C307331,/Architecture/CPU Core/,not_qualified
C13,100n,CL05B104KB54PNC,C307331,/Architecture/CPU Core/,not_qualified
C14,100n,CL05B104KB54PNC,C307331,/Architecture/CPU Core/,not_qualified
