physical_pin,reference_pin_function,reference_net,s4_datasheet_verified
1,PG6_1,unconnected-(U3E-PG6-Pad1),False
2,PG7_2,unconnected-(U3E-PG7-Pad2),False
3,PG8_3,unconnected-(U3E-PG8-Pad3),False
4,PG9_4,unconnected-(U3E-PG9-Pad4),False
5,PG10_5,unconnected-(U3E-PG10-Pad5),False
6,PG11_6,unconnected-(U3E-PG11-Pad6),False
7,PF0_7,/Architecture/CPU IO/SDC0_D1,False
8,PF1_8,/Architecture/CPU IO/SDC0_D0,False
9,PF2_9,/Architecture/CPU IO/SDC0_CLK,False
10,PF3_10,/Architecture/CPU IO/SDC0_CMD,False
11,PF4_11,/Architecture/CPU IO/SDC0_D3,False
12,PF5_12,/Architecture/CPU IO/SDC0_D2,False
13,PF6_13,/Architecture/CPU IO/BOARD_ID_1,False
14,PC7_14,unconnected-(U3E-PC7-Pad14),False
15,PC6_15,unconnected-(U3E-PC6-Pad15),False
16,PC5_16,/Architecture/CPU IO/BOOT_SEL1,False
17,PC4_17,/Architecture/CPU IO/BOOT_SEL0,False
18,PC3_18,unconnected-(U3E-PC3-Pad18),False
19,PC2_19,unconnected-(U3E-PC2-Pad19),False
20,VCC_PLL_20,+1V8,False
21,REFCLK_OUT_21,unconnected-(U3B-REFCLK_OUT-Pad21),False
22,DXOUT_22,/Architecture/CPU Core/DXOUT,False
23,DXIN_23,/Architecture/CPU Core/DXIN,False
24,X32KOUT_24,/Architecture/CPU Core/LXOUT,False
25,X32KIN_25,/Architecture/CPU Core/LXIN,False
26,VCC_RTC_26,+1V8,False
27,RESET_27,/Architecture/CPU Core/~{RESET},False
28,LDOA_OUT_28,+1V8,False
29,LDO_IN_29,+3V3,False
30,LDOB_OUT_30,+1V5,False
31,PE13_31,unconnected-(U3E-PE13-Pad31),False
32,PE12_32,unconnected-(U3E-PE12-Pad32),False
33,PE3_33,unconnected-(U3E-PE3-Pad33),False
34,VCC_PE_34,+3V3,False
35,PE2_35,unconnected-(U3E-PE2-Pad35),False
36,PE11_36,unconnected-(U3E-PE11-Pad36),False
37,PE10_37,unconnected-(U3E-PE10-Pad37),False
38,PE9_38,unconnected-(U3E-PE9-Pad38),False
39,PE8_39,unconnected-(U3E-PE8-Pad39),False
40,PE7_40,unconnected-(U3E-PE7-Pad40),False
41,PE6_41,unconnected-(U3E-PE6-Pad41),False
42,PE5_42,unconnected-(U3E-PE5-Pad42),False
43,PE4_43,unconnected-(U3E-PE4-Pad43),False
44,PE0_44,unconnected-(U3E-PE0-Pad44),False
45,PE1_45,unconnected-(U3E-PE1-Pad45),False
46,VDD_SYS0_46,+0V9,False
47,DZQ_47,Net-(U3B-DZQ),False
48,VCC_DRAM0_48,+1V5,False
49,VCC_DRAM1_49,+1V5,False
50,VDD18_DRAM_50,+1V8,False
51,VDD_SYS1_51,+0V9,False
52,PD22_52,/Architecture/CPU IO/BOARD_ID_3,False
53,PD21_53,/Architecture/CPU IO/BOARD_ID_2,False
54,PD20_54,unconnected-(U3E-PD20-Pad54),False
55,PD0_55,unconnected-(U3E-PD0-Pad55),False
56,PD1_56,unconnected-(U3E-PD1-Pad56),False
57,PD2_57,unconnected-(U3E-PD2-Pad57),False
58,PD3_58,unconnected-(U3E-PD3-Pad58),False
59,PD4_59,unconnected-(U3E-PD4-Pad59),False
60,PD5_60,unconnected-(U3E-PD5-Pad60),False
61,PD6_61,unconnected-(U3E-PD6-Pad61),False
62,PD7_62,/Architecture/CPU IO/DEBUG_TX,False
63,PD8_63,/Architecture/CPU IO/DEBUG_RX,False
64,PD9_64,unconnected-(U3E-PD9-Pad64),False
65,VCC_LVDS_65,+1V8,False
66,VCC_PD_66,+3V3,False
67,PD10_67,unconnected-(U3E-PD10-Pad67),False
68,PD11_68,unconnected-(U3E-PD11-Pad68),False
69,PD13_69,unconnected-(U3E-PD13-Pad69),False
70,PD12_70,unconnected-(U3E-PD12-Pad70),False
71,PD14_71,unconnected-(U3E-PD14-Pad71),False
72,PD15_72,unconnected-(U3E-PD15-Pad72),False
73,PD16_73,unconnected-(U3E-PD16-Pad73),False
74,PD17_74,unconnected-(U3E-PD17-Pad74),False
75,PD18_75,unconnected-(U3E-PD18-Pad75),False
76,PD19_76,unconnected-(U3E-PD19-Pad76),False
77,VCC_TVOUT_77,+3V3,False
